Names,color_wine,Prices,ML,Ratings,Ratingsnum,Countrys,ABV %,rates,year,brand,location,city,raters_numb
00 Wines VGW Chardonnay ,White Wine,79.99,750,0.0,0,"Chardonnay from Willamette Valley, Oregon",13.0,"JS, WE, WS",2017,Chardonnay,Oregon,Willamette Valley,3
00 Wines VGR Pinot Noir ,Red Wine,99.99,750,0.0,0,"Pinot Noir from Willamette Valley, Oregon",12.9,"WE, JS, RP",2019,Pinot Noir,Oregon,Willamette Valley,3
00 Wines EGW Chardonnay ,White Wine,115.99,750,0.0,0,"Chardonnay from Willamette Valley, Oregon",0.0,"JS, RP, WE",2019,Chardonnay,Oregon,Willamette Valley,3
100 Nails Ranch Pinot Noir ,Red Wine,16.99,750,0.0,0,"Pinot Noir from Central Coast, California",14.2,WW,2019,Pinot Noir,California,Central Coast,1
100 Nails Ranch Chardonnay ,White Wine,16.99,750,0.0,0,"Chardonnay from Sonoma County, California",14.2,0,2019,Chardonnay,California,Sonoma County,0
100 Nails Ranch Cabernet Sauvignon ,Red Wine,19.99,750,3.3,9,"Cabernet Sauvignon from Paso Robles, Central Coast, California",14.2,TP,2018,Cabernet Sauvignon,California,Central Coast,1
1000 Stories Bourbon Barrel Aged Prospectors' Proof Cabernet Sauvignon ,Red Wine,19.99,750,0.0,0,Cabernet Sauvignon from California,0.0,WW,2020,Cabernet Sauvignon,California,_Not_given_,1
1000 Stories American Barrel Aged Pinot Noir ,Red Wine,17.99,750,0.0,0,Pinot Noir from California,14.5,0,2020,Pinot Noir,California,_Not_given_,0
1000 Stories Bourbon Barrel Aged Zinfandel ,Red Wine,18.99,750,3.8,11,Zinfandel from California,15.5,WW,2020,Zinfandel,California,_Not_given_,1
1000 Stories Bourbon Barrel Aged Chardonnay ,White Wine,19.99,750,4.4,10,Chardonnay from California,14.4,TP,2019,Chardonnay,California,_Not_given_,1
1000 Stories Bourbon Barrel Aged Prospectors' Proof Cabernet Sauvignon ,Red Wine,18.99,750,0.0,0,Cabernet Sauvignon from California,14.9,0,2018,Cabernet Sauvignon,California,_Not_given_,0
1000 Stories Bourbon Barrel Aged Gold Rush Red ,Red Wine,19.99,750,3.7,12,Other Red Blends from California,14.5,0,2018,Other Red Blends,California,_Not_given_,0
12 Linajes Reserva ,Red Wine,39.99,750,3.9,33,"Tempranillo from Ribera del Duero, Spain",14.0,WE,2012,Tempranillo,Spain,Ribera del Duero,1
